PDB_ID,UniProt_ID,Protein_Class_Uniprot
4wh9,P30305,Hydrolase
4wi1,Q8I5R7,Aminoacyl-tRNA synthetase
4wk1,A0A0H2WXZ7,UNKNOWN
4wk7,O75173,Hydrolase
4wkb,A5F5R2,Hydrolase
4wkc,A7ZHQ1,Hydrolase
4wlj,Q16773,Aminotransferase
4wlk,O32108,UNKNOWN
4wm7,Q9YLJ3,UNKNOWN
4wma,Q3U4G3,Glycosyltransferase
4wnk,P43249,Kinase
4wno,O75385,Kinase
4woe,P16641,Kinase
4woh,Q9NRW4,Hydrolase
4wp9,Q5UFR5,Lyase
4wpz,Q93HJ0,Monooxygenase
4wq3,P04632,UNKNOWN
4wqd,D3RVD4,Oxidoreductase
4wql,P0AE05,Nucleotidyltransferase
4wqm,Q03304,Oxidoreductase
4wr3,P0A6B4,Isomerase
4wre,P08427,UNKNOWN
4wri,Q2MHR1,UNKNOWN
4ws6,P9WFQ9,Hydrolase
4wsj,Q8A3I4,Glycosidase
4wsq,Q2M2I8,Kinase
4wuj,G0RUC2,Activator
4wuy,Q9NRG4,Chromatin regulator
4wvc,Q5SJN0,Glycosidase
4ww2,P15813,UNKNOWN
4ww7,P53323,Activator
4wx0,Q4K8M0,UNKNOWN
4wx4,B9A5C1,DNA-binding
4wxg,Q5M0B4,Transferase
4wy0,Q5L3Y2,Lyase
4wyd,P9WQ81,Aminotransferase
4wz4,P24735,Hydrolase
4wzh,E9AI53,Oxidoreductase
4x1b,P02787,UNKNOWN
4x1t,O81770,Glycosyltransferase
4x2a,Q9CPU0,Lyase
4x2p,P11444,Isomerase
4x3o,Q8IXJ6,Transferase
4x3u,Q8VDS3,Chromatin regulator
4x55,G5DE28,Hydrolase
4x56,D2XKK9,UNKNOWN
4x5p,P08191,UNKNOWN
4x5s,C1DTU5,Lyase
4x6f,P06126,UNKNOWN
4x6h,P43235,Hydrolase
4x7g,O68098,Oxidoreductase
4x7k,Q9NZJ5,Kinase
4x7q,Q9P1W9,Kinase
4x7r,A0A0H2WWV6,Glycosyltransferase
4x7y,Q49492,Methyltransferase
4x8e,G7CFI3,Monooxygenase
4x8y,O00264,Receptor
4x91,Q8NCC3,Acyltransferase
4x9d,Q58830,UNKNOWN
4x9m,P75063,Oxidoreductase
4xac,A0A0M3KL01,Dioxygenase
4xaq,Q14416,G-protein coupled receptor
4xar,Q14832,G-protein coupled receptor
4xb1,O58802,Oxidoreductase
4xba,O74859,DNA-binding
4xcb,Q2MFS1,UNKNOWN
4xcl,P54651,Chaperone
4xcz,F8RC03,UNKNOWN
4xda,A0A0H2UL04,Kinase
4xdi,A8JAR4,UNKNOWN
4xdu,O83774,Transferase
4xdy,Q64BR7,Oxidoreductase
4xdz,E0SRA9,Oxidoreductase
4xez,P21816,Dioxygenase
4xf7,Q5JDA3,Kinase
4xfm,Q6D0N7,Kinase
4xgs,P0A998,Oxidoreductase
4xgu,Q09535,UNKNOWN
4xgx,P0AB85,Transferase
4xh4,O06961,Kinase
4xhf,Q8EID8,Oxidoreductase
4xhg,Q6FS46,Kinase
4xia,P12070,Isomerase
4xj2,A1B5I2,Oxidoreductase
4xj6,Q6XGD8,Nucleotidyltransferase
4xj7,P66881,Hydrolase
4xjc,Q9KFV3,Hydrolase
4xkr,Q2G2P5,UNKNOWN
4xl4,A0A0R4I970,Acyltransferase
4xli,Q4JIM5,Kinase
4xly,Q45222,UNKNOWN
4xme,Q6PQK2,Hemostasis impairing toxin
4xo6,P52895,Oxidoreductase
4xoo,P9WP79,Ligase
4xp7,Q9NX74,Oxidoreductase
4xpl,A0A0J9X276,UNKNOWN
4xpz,Q9P376,Hydrolase
4xqa,Q64823,UNKNOWN
4xqc,O32323,Transferase
4xsr,Q8YQW3,UNKNOWN
4xt6,P71968,Oxidoreductase
4xtv,I6YFP0,Ligase
4xu6,A1T557,UNKNOWN
4xuz,S5LVN3,Hydrolase
4xvx,P9WQF9,Oxidoreductase
4xw2,P11215,Integrin
4xwh,P54802,Glycosidase
4xwt,H9CZL7,Endonuclease
4xx0,O19069,Ligase
4xxh,P36673,DNA-binding
4xxi,P80559,Lyase
4xxl,D5CN26,UNKNOWN
4xyb,G8NVB5,Oxidoreductase
4xz6,Q5LT66,UNKNOWN
4xzd,Q66G68,UNKNOWN
4xzj,A3UNN4,Glycosyltransferase
4y0a,A0A0M3KL09,Kinase
4y0h,P80147,Aminotransferase
4y0s,P02756,Milk protein
4y0v,C4LXL1,UNKNOWN
4y0x,P9WI73,Kinase
4y1b,M1SQA1,RNA-binding
4y1p,Q4JB37,Oxidoreductase
4y30,Q96LA8,Chromatin regulator
4y4n,F6BCS4,Transferase
4y4v,O25255,Transferase
4y7s,Q5A0X8,UNKNOWN
4y7u,Q88QT2,Nucleotidyltransferase
4y85,P41279,Kinase
4y86,O76083,Hydrolase
4y95,Q3ZC95,Kinase
4y9d,G2IN91,UNKNOWN
4y9j,Q9XWZ2,Oxidoreductase
4y9t,B9K0Q5,UNKNOWN
4yac,C0SUK3,Oxidoreductase
4yag,C0SUJ9,Oxidoreductase
4yav,G2IN94,UNKNOWN
4ybm,O15164,DNA-binding
4ybn,A0R238,UNKNOWN
4yca,A0A0J9X283,Oxidoreductase
4ycu,Q15046,Aminoacyl-tRNA synthetase
4ydd,G8QM55,Oxidoreductase
4yds,Q4J9K9,UNKNOWN
4yfb,A0A0A1VBK6,UNKNOWN
4yfu,E1C9K5,DNA-binding
4yfy,M9P0Q2,UNKNOWN
4ygf,A0A0M3KL20,Lyase
4ygm,P20536,DNA-binding
4yhb,A0A0M3KL21,UNKNOWN
4yiw,Q81WF0,Hydrolase
4yj1,Q57ZF2,UNKNOWN
4yji,C3UWD1,Hydrolase
4yjr,P43405,Kinase
4ykg,P35340,Oxidoreductase
4ykk,A0A0R4I973,Ion channel
4yla,I7EIW6,Transferase
4ylk,Q13627,Kinase
4ylq,P08709,Hydrolase
4ylu,V9TU12,Endonuclease
4ymh,Q9HGR1,Methyltransferase
4yml,P0AF12,Hydrolase
4ynr,P9WGK2,Kinase
4ynu,B8MX95,Oxidoreductase
4yoi,P0C6W3,Endonuclease
4yrd,A0A0H3JP37,UNKNOWN
4yri,Q4DA54,Aminoacyl-tRNA synthetase
4ys0,Q9X1R4,Translocase
4ysn,M1GRN3,Isomerase
4yt3,Q06069,Monooxygenase
4yt5,Q58734,Oxidoreductase
4ytt,O50580,Isomerase
4yvg,P43912,Methyltransferase
4yw3,A0A0H2UQE4,Glycosidase
4ywa,Q05097,UNKNOWN
4ywo,A4YG49,Oxidoreductase
4ywr,A0A0J9X285,Kinase
4yx9,A0A0M3KL26,UNKNOWN
4yyy,Q7CP66,Glycosyltransferase
4yzl,A0A077K887,Transferase
4yzx,B9MKT4,Lyase
4z07,Q13976,Allosteric enzyme
4z0h,P25858,DNA-binding
4z0p,Q92T34,Oxidoreductase
4z13,A0A075DN54,Oxidoreductase
4z1d,P56060,Transferase
4z24,Q5UPL2,Oxidoreductase
4z28,A9D857,UNKNOWN
4z2b,Q6L8Q7,Exonuclease
4z3x,Q39TV8,Oxidoreductase
4z4p,O14686,Chromatin regulator
4z55,Q9UM73,Kinase
4z6v,Q45135,Dioxygenase
4z7x,A0A0M3KL32,UNKNOWN
4z84,P00517,Kinase
4z87,Q756Z6,Oxidoreductase
4za9,A2QHE5,Decarboxylase
4zac,Q03034,Decarboxylase
4zad,B9WJ66,Decarboxylase
4zah,P27833,Transferase
4zb6,A0A0R4I980,Transferase
4zb8,A0A0R4I981,Transferase
4zbb,A0A0R4I985,Transferase
4zbq,P35747,UNKNOWN
4zbt,D7C0E5,UNKNOWN
4zby,Q96YD0,Hydrolase
4zcd,Q48MT7,Oxidoreductase
4zcp,Q8IEE9,Nucleotidyltransferase
4zdc,Q05871,Isomerase
4zdj,P9WHK7,Ligase
4zdq,Q2SWT6,Nucleotidyltransferase
4zev,Q8IJ74,Hydrolase
4zfl,A0R5M9,Hydrolase
4zfy,B7X8M2,Hydrolase
4zg4,Q9NQX4,Actin-binding
4zgp,Q9P7N5,Chaperone
4zgs,B0LUZ5,Oxidoreductase
4zho,P16972,UNKNOWN
4zhp,Q93XJ9,UNKNOWN
4zhz,P03433,Endonuclease
4zjz,Q6NC13,Ligase
4zkd,Q08491,Repressor
4zl4,A5K302,Aspartyl protease
4zla,O25294,Aminopeptidase
4zlf,Q21MB1,Glycosyltransferase
4zlu,B3VI55,Kinase
4zm3,A8R0K5,Aminotransferase
4zn5,P15273,Hydrolase
4zo3,I7HB71,Hydrolase
4zoa,Q92AS9,Glycosidase
4zp0,P0AEY8,UNKNOWN
4zqx,Q5EK29,UNKNOWN
4zrb,A0A0M3KL39,Hydrolase
4zrm,Q9WYX9,UNKNOWN
4zrv,E1BHM0,UNKNOWN
4zsi,Q9K492,DNA-binding
4ztc,Q0P9D3,Aminotransferase
4zte,P12830,UNKNOWN
4zu3,Q46347,UNKNOWN
4zuq,Q48935,Hydrolase
4zvf,P0AA89,Transferase
4zx2,P53041,Hydrolase
4zxa,C1I209,Dioxygenase
4zxf,P28321,Hydrolase
4zy0,A0A024V0B1,Aminopeptidase
4zy2,A0A0L7M119,Aminopeptidase
4zyb,O33599,Hydrolase
4zz1,P22102,Ligase
4zz8,Q93IE7,Glycosidase
4zzt,A0A088T0J9,Glycosidase
4zzx,Q9UGN5,Allosteric enzyme
5a06,Q9A8X3,Oxidoreductase
5a07,P38131,Glycosyltransferase
5a0u,A0A0M3KL44,Lyase
5a12,A0A0M3KL46,UNKNOWN
5a13,A0A0M3KL47,UNKNOWN
5a24,A0A0E3GLN3,Hydrolase
5a2w,F1NBW0,Transferase
5a3t,Q9UGL1,Chromatin regulator
5a50,Q9LVH4,GTPase activation
5a57,Q2MGH6,Glycosidase
5a5l,Q8DJE9,Hydrolase
5a5w,P10372,Isomerase
5a61,P30871,Hydrolase
5a65,Q8JZL3,Hydrolase
5a67,Q9SIY3,Hydrolase
5a6b,A0A0H2US73,Hydrolase
5a6m,A3DJS9,Glycosidase
5a6x,A0A0H2ZE85,UNKNOWN
5a7y,Q4J894,Methyltransferase
5a89,Q59263,Kinase
5a8r,P58815,Transferase
5a8w,H7CHY2,Transferase
5a92,E1ANH6,Hydrolase
5a9a,Q0MX25,UNKNOWN
5aa4,A0A1I9GEN8,Lyase
5aa5,Q7WXQ3,UNKNOWN
5aan,Q9VWX8,UNKNOWN
5aap,Q1R2J4,UNKNOWN
5ab6,C9ZUV7,UNKNOWN
5ab8,P9WN25,UNKNOWN
5abm,P51977,Oxidoreductase
5abo,O94753,Oxidoreductase
5abu,P48598,Initiation factor
5abw,P08246,Hydrolase
5abx,O61955,Initiation factor
5acl,P01709,UNKNOWN
5ad1,Q0P8Q4,UNKNOWN
5aee,P32138,Glycosidase
5aew,P37333,Dioxygenase
5af7,K4L7X3,Hydrolase
5ag3,O30478,Lyase
5agv,P9WNU1,DNA-binding
5agy,I1MJ34,Transferase
5ah5,B9JQP8,Aminoacyl-tRNA synthetase
5ahm,Q9HXM5,Oxidoreductase
5ahw,A0QYW6,UNKNOWN
5aip,Q7DD70,DNA-binding
5ajg,Q9RZA4,Kinase
5aju,M1VUY5,UNKNOWN
5al9,Q4Q3K2,Oxidoreductase
5amv,P39116,Lyase
5aoc,A0A0X1KHD1,Hydrolase
5aog,P84516,Oxidoreductase
5aor,P24785,Helicase
5aov,Q8U3Y2,Oxidoreductase
5apg,E1QU22,Transferase
5aqv,P11142,Chaperone
5ark,P15468,Antibiotic
5aui,P0A3C9,UNKNOWN
5auk,P27320,UNKNOWN
5aun,Q5JIH4,Hydrolase
5aur,P15452,UNKNOWN
5auw,P53355,Calmodulin-binding
5avf,Q9KL26,Transducer
5awm,P92208,Developmental protein
5awv,Q7WZ62,Acyltransferase
5ax0,G3CEP6,Photoreceptor protein
5axu,P11041,UNKNOWN
5azb,P60955,Transferase
5b1s,Q4DA73,Transferase
5b1y,Q9Y8Y1,Oxidoreductase
5b2e,O58235,UNKNOWN
5b35,B0R5N9,Photoreceptor protein
5b46,Q96XT4,Oxidoreductase
5b4b,Q9I2V0,Hydrolase
5b4j,Q55891,Oxidoreductase
5b4t,D0VWQ0,UNKNOWN
5b4z,Q8NTB8,UNKNOWN
5b6d,B4Y380,Methyltransferase
5b6i,W0W999,Hydrolase
5b7g,A0KGU9,Glycosidase
5b82,Q8DM36,UNKNOWN
5b89,B6YT87,Transferase
5b8i,J3K5Z5,Isomerase
5bjw,O86159,Lyase
5bkc,P83310,Dioxygenase
5bn3,Q74MJ7,Translocase
5bo7,O43173,Glycosyltransferase
5boe,O69174,Lyase
5bp5,Q45871,UNKNOWN
5bph,Q8ZIE7,Ligase
5bq5,Q45619,UNKNOWN
5bqs,C1CIR8,Acyltransferase
5br4,P0A9S1,Oxidoreductase
5br7,Q6NER4,Isomerase
5brh,Q4E4E1,Kinase
5brp,Q65MI2,Glycosidase
5bsf,G7KRM5,Oxidoreductase
5bst,O24146,Ligase
5bsz,K4P132,Methyltransferase
5bt9,A9MA73,Oxidoreductase
5bu3,K7QVW7,Isomerase
5buk,J7H1A1,Oxidoreductase
5bul,A0A140UHM1,UNKNOWN
5bv3,Q06151,Hydrolase
5bva,A0A140UHM3,UNKNOWN
5bvs,A0A0K0MJN3,UNKNOWN
5bw4,C7Q5P8,UNKNOWN
5bwd,O68395,Lyase
5bxr,B3TLD6,Glycosidase
5byk,G4VLE5,Transferase
5byz,Q13164,Kinase
5bz4,A0QUH3,Acyltransferase
5c0z,P62898,UNKNOWN
5c1u,A9XG43,Helicase
5c2i,Q8YWM0,UNKNOWN
5c2j,P60766,Hydrolase
5c3q,Q7RYZ9,Dioxygenase
5c3u,A0A0X1KHE6,Lyase
5c4d,P16442,Blood group antigen
5c5t,Q84406,Dioxygenase
5c5v,Q384W5,Hydrolase
5c79,Q9QWY8,GTPase activation
5c7t,Q6MIH8,Hydrolase
5c8z,Q8NKB0,Hydrolase
5ca6,A0A1A9TAH8,UNKNOWN
5ca8,Q9C0L9,Hydrolase
5cb3,P0A8D6,Hydrolase
5cb8,P72940,Kinase
5cbn,P38507,IgG-binding protein
5ccb,Q96FX7,Methyltransferase
5cct,A4ZF98,Hydrolase
5ce8,F2L0W0,Aminotransferase
5ced,Q6MHT0,Carboxypeptidase
5cee,Q2NK75,Oxidoreductase
5ceq,Q12852,Kinase
5cfl,A7SLZ2,UNKNOWN
5cft,Q6X3H6,UNKNOWN
5cga,Q6GEY3,Kinase
5cgx,Q9L387,Hydrolase
5ch5,Q25252,Hydrolase
5ci3,P69925,Oxidoreductase
5ciy,P05102,DNA-binding
5cj3,B9UIZ4,UNKNOWN
5cjf,Q9ULX7,Lyase
5ck4,G0S401,Receptor
5ckw,Q5WZW9,Kinase
5cm0,A0A0A7GJ30,Aminotransferase
5cm7,A0A0D5YC82,Kinase
5cp9,P14210,Growth factor
5csd,A0A093VKV7,UNKNOWN
5css,Q9HLB6,Isomerase
5csy,Q9LV91,Glycosyltransferase
5ctn,A8FFI9,Hydrolase
5ctu,P0A0K8,DNA-binding
5ctv,P06653,Hydrolase
5cuo,Q21A54,Acyltransferase
5cuq,C0LMU0,Helicase
5cur,P37957,Hydrolase
5cvc,F5CAQ9,Lyase
5cvd,Q9BV86,Methyltransferase
5cwa,P9WFX2,Lyase
5cx6,Q6A562,Nucleotidyltransferase
5cx7,Q8ZNR5,Transferase
5cx8,F5H948,UNKNOWN
5cxi,P96856,DNA-binding
5cxm,P74174,Translocase
5cxw,P71707,Carboxypeptidase
5cxx,F2YCB6,Hydrolase
5cyv,Q0S6D0,DNA-binding
5czy,Q5ZUS4,Methyltransferase
5d01,P42982,Glycosyltransferase
5d08,P97030,Oxidoreductase
5d2k,Q1XGK3,Lyase
5d3q,Q05193,Hydrolase
5d3x,Q8TCU6,Guanine-nucleotide releasing factor
5d4n,D5X329,UNKNOWN
5d4p,D6CQJ8,UNKNOWN
5d4v,Q57913,Methyltransferase
5d6e,P50579,Aminopeptidase
5d6j,A0R618,Ligase
5d75,Q00688,Isomerase
5d79,Q9FI21,Oxidoreductase
5d84,A6QDA0,Transferase
5d9p,O06842,Glycosidase
5d9w,Q65XA0,Oxidoreductase
5dap,Q5AR53,Dioxygenase
5dbx,Q9Z1W9,Kinase
5dch,P0C2B2,UNKNOWN
5dcu,K7WDL7,Oxidoreductase
5de0,Q9KQ59,Oxidoreductase
5deq,Q8AAV8,Hydrolase
5dfs,P00003,UNKNOWN
5dgc,P0AE68,UNKNOWN
5dgj,Q83883,Hydrolase
5dgr,Q6LUT2,Glycosidase
5dh3,Q13188,Kinase
5djh,P9WKJ1,Hydrolase
5djt,O49004,Kinase
5dkk,B7G9J2,UNKNOWN
5dkq,P02638,UNKNOWN
5dky,G0SG42,Glycosidase
5dl7,A0A0D5YKR4,UNKNOWN
5dm0,A7Z2A9,Methyltransferase
5dn1,P16250,Isomerase
5dn9,A0A0A1EQY0,Oxidoreductase
5dnk,O05979,UNKNOWN
5dnl,P58880,Lyase
5dnu,A0A0M3PN85,Hydrolase
5doz,Q6E7K0,Acyltransferase
5dp2,Q6DNE7,Ligase
5dpn,Q7WTN6,Glycosidase
5drb,Q9JIH7,Kinase
5du8,P9WNP1,Lyase
5duw,P56470,UNKNOWN
5dv4,Q96LI5,Exonuclease
5dx9,Q059G6,UNKNOWN
5dxi,Q5AI14,UNKNOWN
5dz2,Q9X839,Lyase
5dzc,A5K0N4,Kinase
5dzt,Q8KUA3,UNKNOWN
5e16,Q8I719,Kinase
5e2n,Q8N1Q1,Lyase
5e3q,Q8NRE3,Acyltransferase
5e4b,A0A1C9V3S9,Lyase
5e51,O53638,Acyltransferase
5e58,J9JD66,Monooxygenase
5e5g,O53512,Transferase
5e65,K9LG83,Hemagglutinin
5e72,Q5JID5,Methyltransferase
5e8x,P36897,Kinase
5e9g,P0CT06,Lyase
5e9h,Q4HYR2,Lyase
5e9o,E0RQU0,Glycosidase
5e9w,O43148,Methyltransferase
5ea4,P03420,UNKNOWN
5ean,Q6ZQJ5,DNA-binding
5eb3,Q9I4L4,UNKNOWN
5ecc,A4GRC7,Oxidoreductase
5eck,Q9SKE2,Ligase
5edc,P15090,UNKNOWN
5edl,O34738,UNKNOWN
5edt,P0A515,Monooxygenase
5eeh,Q06528,Methyltransferase
5ees,P40110,Oxidoreductase
5efa,Q9QLL6,UNKNOWN
5eg7,G3LZH2,UNKNOWN
5egf,F1CWE4,Ligase
5egh,Q8BGN3,Hydrolase
5ehi,P27915,Helicase
5eik,Q9NA73,Ion channel
5ein,O50146,Oxidoreductase
5ej2,A0A0H2ZYS9,Oxidoreductase
5ejl,G3FT00,UNKNOWN
5ejm,P17109,Transferase
5eko,O15264,Kinase
5eni,Q8WWQ0,UNKNOWN
5enq,P31224,UNKNOWN
5enz,Q9REV4,Isomerase
5eox,G3XD28,UNKNOWN
5ep2,Q1ZS18,DNA-binding
5epa,Q9RN60,Dioxygenase
5eph,Q3SAW3,Hydrolase
5epo,G9FRD7,Oxidoreductase
5eq3,A3CM52,UNKNOWN
5eq8,G7J7Q5,Hydrolase
5eqq,C1KIK8,Hydrolase
5erg,P46959,Methyltransferase
5erm,A2PZA5,Lyase
5esg,A6ZSR0,Methyltransferase
5ett,Q2G0Q5,Kinase
5eud,Q67PY4,Lyase
5evy,Q59713,Oxidoreductase
5evz,P11021,Chaperone
5ew8,P11362,Heparin-binding
5ewy,C9Z6T8,UNKNOWN
5ex6,Q8KLL9,Monooxygenase
5ex8,Q8KLL7,Monooxygenase
5ey0,A7X1N2,DNA-binding
5ey9,B2HMK0,Ligase
5eyg,Q2FVV7,UNKNOWN
5eyw,K0E682,IgE-binding protein
5ez1,P56112,Isomerase
5ez2,A0A1D5B367,UNKNOWN
5ez7,Q9HUH4,Oxidoreductase
5ezs,P27282,Helicase
5f1f,Q99QC1,Hydrolase
5f1g,A7TUE6,Hydrolase
5f1v,Q9PPB4,Lyase
5f29,Q2FZQ4,UNKNOWN
5f2c,G7VCG0,Oxidoreductase
5f2k,B2HHT4,UNKNOWN
5f33,Q9X1X7,Transferase
5f38,P76461,Acyltransferase
5f48,A0A059WZ16,UNKNOWN
5f4b,Q2YQ23,Oxidoreductase
5f5e,Q03164,Chromatin regulator
5f5n,A0A023GUL3,Monooxygenase
5f6y,P63279,Transferase
5f6z,A0A1D5B369,UNKNOWN
5f74,Q9CQV8,UNKNOWN
5f79,Q30NP1,UNKNOWN
5f7j,I0B503,Glycosyltransferase
5f83,Q0Z8S4,UNKNOWN
5f85,Q8T045,Glycosyltransferase
5f8f,O53532,Methyltransferase
5f8y,H2FH31,Hemagglutinin
5f9k,Q54BW5,Hydrolase
5f9s,P21549,Aminotransferase
5f9t,A0A0B7LH44,Glycosidase
5fa8,C3MWA1,Methyltransferase
5fag,O86786,Isomerase
5fan,R9RYW2,Acyltransferase
5faw,Q30W70,Lyase
5fb3,A3MTM6,Oxidoreductase
5fbf,P24021,Endonuclease
5fbk,P41180,G-protein coupled receptor
5fcb,P70158,Hydrolase
5fes,Q9X0Z6,Oxidoreductase
5ff1,A0A452E9Y6,Antibiotic
5fff,A0A1A9TAK5,Oxidoreductase
5fh7,Q86U86,Chromatin regulator
5fi3,A0A0F6SD02,Oxidoreductase
5fit,P49789,Hydrolase
5fjn,A0A158RFS7,Oxidoreductase
5fky,Q89ZI2,Glycosidase
5flg,P53559,Ligase
5flj,A2VA43,UNKNOWN
5fmm,Q6DNN3,UNKNOWN
5foi,Q83WF5,Monooxygenase
5fol,B6AA20,Aminoacyl-tRNA synthetase
5foo,Q99YP9,Glycosidase
5for,Q6ZUJ8,UNKNOWN
5fpo,Q9AIU7,Ligase
5fr0,A0A0H2YNR7,UNKNOWN
5frd,O28735,Hydrolase
5fry,O84957,Activator
5fs8,O95831,DNA-binding
5fsb,B0CZL6,UNKNOWN
5fsy,C9ZP98,UNKNOWN
5ftg,P35790,Kinase
5ftj,P55072,Hydrolase
5ftw,P31105,Methyltransferase
5fub,A1L1Q4,Methyltransferase
5fuf,Q59UP8,UNKNOWN
5fuw,Q38CF2,Kinase
5fvj,A0A0F6B8D8,Acyltransferase
5fw4,Q47KB1,Oxidoreductase
5fwj,P41229,Chromatin regulator
5fx6,P04936,Helicase
5fxt,O25242,DNA-binding
5fyr,A0A1S4NYD4,UNKNOWN
5g09,A0A1C7D190,UNKNOWN
5g0i,F8W4B7,Actin-binding
5g10,Q9HXM1,Hydrolase
5g18,Q47066,Hydrolase
5g1a,Q70I53,Hydrolase
5g2p,A0A1C7D191,UNKNOWN
5g2t,Q8A7C8,Hydrolase
5g2v,Q89YS5,Hydrolase
5g3n,P14555,Antimicrobial
5g3r,Q9HZK0,Glycosidase
5g3t,Q9S3V1,Oxidoreductase
5g4i,A1RDF1,Aminotransferase
5g57,Q8WQX9,Hydrolase
5g6s,Q2TW47,Oxidoreductase
5g6v,Q00536,Kinase
5ggn,Q8WZA1,Glycosyltransferase
5gi7,Q94521,Acyltransferase
5gj9,Q41931,Oxidoreductase
5gjc,A0A0U4DG08,Helicase
5gjo,O50657,Decarboxylase
5gju,P0A9P6,Helicase
5gk1,Q7N4Z6,Acyltransferase
5gl5,Q06321,Glycosyltransferase
5glb,Q2T5A3,Hydrolase
5gln,A0A0H5BL38,UNKNOWN
5gls,P80025,Antibiotic
5gm8,A0A072ZPM2,Methyltransferase
5gmd,Q97UL5,Lyase
5gmu,P39912,Isomerase
5gof,Q8IWA4,Hydrolase
5gp0,Q9CA40,Hydrolase
5gp4,D6PXK5,Decarboxylase
5gt2,P76536,Oxidoreductase
5gt9,A4ECA9,Oxidoreductase
5guf,Q9YF05,Transferase
5gul,X5IYJ5,Transferase
5gut,P13864,Activator
5gvh,Q9WZQ7,Oxidoreductase
5gwa,A0A0B6VPP7,Hydrolase
5gx6,D1AWE0,UNKNOWN
5gxu,Q9SUM3,Oxidoreductase
5gyr,P00154,UNKNOWN
5gz3,G1UII1,Oxidoreductase
5gz9,Q3TUA9,Kinase
5gza,Q5U3W1,Kinase
5gzw,A0A076YIY5,Hydrolase
5h02,F6KV61,Methyltransferase
5h0b,P08631,Kinase
5h1w,Q9WYP7,Isomerase
5h2d,Q6CUK7,UNKNOWN
5h39,P90463,Methyltransferase
5h41,A9KJS6,Glycosyltransferase
5h47,Q2UNX8,UNKNOWN
5h4s,A0A090BWT0,UNKNOWN
5h56,O67099,Kinase
5h57,P27788,UNKNOWN
5h5a,Q6CUC3,UNKNOWN
5h5f,Q12314,Methyltransferase
5h5o,B0RM05,UNKNOWN
5h62,Q8ZNP4,Glycosyltransferase
5h67,P51834,DNA-binding
5h6j,Q9U8Q4,DNA-binding
5h6u,Q9KWT5,UNKNOWN
5h6v,H8XX12,Helicase
5h7k,O59521,Elongation factor
5h81,A0A1C7D193,Oxidoreductase
5h8i,G7ITU5,Hydrolase
5h9i,Q39ZI0,DNA-binding
5h9n,Q7YT09,UNKNOWN
5hbn,P37571,Chaperone
5hc2,H6BDX1,UNKNOWN
5hc8,A0A140UHQ1,Transferase
5hci,P47122,Hydrolase
5hd4,P63086,Kinase
5hdi,P9WPL1,Monooxygenase
5hdj,A0A0K0VJM9,Oxidoreductase
5hdm,P42799,Isomerase
5hgr,Q8YSD9,UNKNOWN
5hgz,Q9H7X0,Acyltransferase
5hh3,Q6ZZI8,Monooxygenase
5hia,P00492,Glycosyltransferase
5his,P20581,Hydrolase
5hiw,A9FFA1,Monooxygenase
5hj7,P9WPW9,Isomerase
5hj9,Q6TUJ5,Hydrolase
5hjm,Q9V2G1,Methyltransferase
5hjq,Q9VIH7,UNKNOWN
5hjs,Q13133,Activator
5hkf,P9WHK9,Glycosyltransferase
5hkg,P68106,Isomerase
5hld,P02919,Carboxypeptidase
5hm3,O53580,Ligase
5hn6,Q5JFV8,Oxidoreductase
5hn9,A5K4U6,Transferase
5hnv,A0A1S4NYE5,UNKNOWN
5hpz,Q8H0F0,UNKNOWN
5hqa,A0A0Y0DFX2,UNKNOWN
5hr5,P26285,Hydrolase
5hs2,Q06755,Nucleotidyltransferase
5hsa,F2QY27,Oxidoreductase
5hsj,J7GQ11,Decarboxylase
5hsq,Q7CY45,Kinase
5hss,E1XUJ2,Isomerase
5htk,O60825,Hydrolase
5htl,Q9KUV7,UNKNOWN
5htx,Q8L794,Kinase
5hu3,Q00168,Calmodulin-binding
5hua,Q6FMA3,Isomerase
5huc,Q8NNL5,Transferase
5hud,Q8NS29,UNKNOWN
5hux,Q31KC7,Kinase
5hv0,A0A4Y1WAP5,Dioxygenase
5hvl,Q92410,Glycosyltransferase
5hvo,Q4WHW0,Glycosyltransferase
5hw4,P67087,Methyltransferase
5hwe,Q8RSQ2,Hydrolase
5hwk,P32656,Lyase
5hwo,Q1D4I1,Acyltransferase
5hws,Q5JGC2,Oxidoreductase
5hwv,A5W4E3,Kinase
5hxi,Q988D3,Monooxygenase
5hxp,B8XA40,Transferase
5hz5,Q01469,UNKNOWN
5hzr,G2QDW1,Helicase
5i0h,Q9HD67,Actin-binding
5i29,P21675,Acyltransferase
5i34,J9VI09,Ligase
5i39,Q9LCB2,Oxidoreductase
5i3c,A7ZVS7,Glycosyltransferase
5i49,Q8WQX5,Nucleotidyltransferase
5i6d,P9WP53,Transferase
5i6k,P25006,Oxidoreductase
5i7s,A0A0H3HP34,Oxidoreductase
5i85,P17405,Glycosidase
5i86,Q92793,Activator
5i90,G3XCY5,UNKNOWN
5ice,Q5C9L7,Methyltransferase
5idm,Q9X688,Kinase
5ie2,Q9SMT7,Ligase
5ied,Q8BHN3,Glycosidase
5ifk,Q6CSZ6,Glycosyltransferase
5ig6,P25440,Chromatin regulator
5igi,Q47396,Transferase
5igl,Q8IZX4,DNA-binding
5ih1,O32553,Transferase
5ihe,Q9V2F3,DNA-binding
5ijj,G0RY29,Hydrolase
